Unnamed: 0,date,lat,lon,panoID,probability ,wall,building,sky,greenery,terrain type ,vehicles,path ,person,fence,signboard,pole,bicycle
893,2022-05,44.51719024018105,11.35177163,egjFxjdOHFwFaeZKRuGudA,0.505047997,0.48,39.26,7.57,13.72,0,14.29,20.68,0,1.83,0.05,0.03,0
894,2022-04,44.47975248851609,11.37096149324326,Krwge7bM_Tmk77Jb4gAang,0.438868552,0,0,0,0,0,0,0,0,0,0,0,0
895,2022-04,44.47763777171438,11.36596827928589,ZjKfk1sRPEKDLBCWGlplzw,0.467900445,0.57,29.84,15.89,11.56,0,2.41,38.82,0.01,0.3,0.14,0.04,0
896,2022-04,44.47421408572971,11.36812293087785,DPmSfSocQNR2koX-hm5jmg,0.454008482,0.21,34.84,18.64,6.1,0,6.46,32.67,0,0,0.31,0.06,0
897,2022-04,44.47122238195457,11.36653634,3o1iKQEmoI6pcgjZ0MFcDg,0.461636586,1.37,4.09,5.96,54.95,0,10.67,12.77,0.02,3.87,0,0,0
898,2023-07,44.47267917163148,11.36587148154403,OsBfzWduSTlaFNR8B6ipKA,0.466430435,6.31,16.85,10.48,31.44,0.16,0.09,26.53,0,7,0.33,0,0
899,2023-06,44.48233767072404,11.37012381560102,XkZz5uxPJTAGf39XTSzYyw,0.443871694,3.07,39.27,3.77,20.37,0,14.47,14.07,0,1.19,0,0.17,0
900,2022-04,44.47258766703787,11.36959349,PEcsv0wvqtt2qIgd-CS7rg,0.444549433,0.5,34.34,14.65,7.4,0,4.32,37.65,0.03,0.01,0.6,0.09,0.03
901,2022-04,44.46785916366405,11.37456011236805,b0N-GT83GqsfQKOkww5Dqw,0.412260659,0.24,15.46,26.96,17.3,0,11.56,24.2,0.04,0.87,0.33,0.19,0
902,2022-04,44.47015517,11.37242390014814,TP26dnClFiSmFgbh-5-QqA,0.426456125,1.82,35.48,10.26,18.36,0,5.31,27.58,0.01,0.53,0.19,0.03,0
903,2023-03,44.52818338551015,11.36613065125336,Pvd-TQeafnLh1DYOPU9YsA,0.400504678,0.32,18.87,24.36,18.79,0.02,1.58,35.25,0.14,0.21,0.13,0.06,0
904,2022-03,44.52949995927575,11.24641760415436,1jrRBl35ElBOJPmX5abPbQ,0.668435261,0,0.89,40.86,17.27,13.14,0.01,13.63,0,3.67,0,0,0
905,2023-08,44.47457499480267,11.39769735678814,aSkS8_gYeZfSA6uuyEiPCw,0.280285786,0,0,0,0,0,0,0,0,0,0,0,0
906,2022-06,44.46020553867335,11.39528846042599,Wi5t4kKm2GowZvCwQ3OEzQ,0.284570945,0,0,20.02,56.5,0.72,0,12.65,0,0.11,0,0,0
907,2022-06,44.46360119392232,11.40124532787424,5bNB11VL08Xqb6nlT4dINA,0.253071988,0.81,1.22,10.4,54.47,0,0.14,28.94,0,0.22,0,0.03,0
908,2022-04,44.46658679905892,11.40687751396462,Ihvvhuv_W2JqJsZ5IRJqlg,0.222384191,0,0,0,0,0,0,0,0,0,0,0,0
909,2022-04,44.47114139853326,11.40088709165499,ETUHAqKfpDFxFRMmC7FFlQ,0.260132623,1.51,20.49,16.1,20.1,0,6.76,24.67,0,9.21,0.05,0.01,0
910,2023-07,44.48921613092347,11.39616925157673,Nyj9L5f4H6HRGbJGqrrHjg,0.288969947,19.17,2.16,23.02,1.26,0.03,0.59,35.95,0.32,6.68,0.24,0.15,0
911,2023-07,44.47874825494242,11.36079638328508,2ZETeVjVYA2M3SKjCWrnkQ,0.498595805,1.12,22.67,11.59,24.53,0.13,2.32,36.04,0.01,0.45,0.8,0.01,0
912,2022-06,44.47175671559797,11.36053556008814,6lPglrN2avicWMunxLpWaw,0.497122294,13.81,0.32,2.54,69.55,0,0,9.81,0,0.09,0.01,0.21,0
913,2022-06,44.46585199148068,11.36088786747423,FvpujuneZ8dbejPAjaKcjw,0.48994447,1.49,0.01,3.01,70.21,0,0,15.66,0,5.65,0,0.45,0
914,2023-07,44.47718991039985,11.35954168,ngM5C6_tQKqcQ2iWfQabvw,0.50560148,0,0,0,0,0,0,0,0,0,0,0,0
915,2022-06,44.48105484929373,11.35822329523896,AW3EtmoQmaI6esA0j8aOxw,0.514006519,2.47,11.88,4.07,47.98,0,0.39,28.54,0,1.97,0.1,0.54,0
916,2022-06,44.47985133103711,11.35674486122222,ogubfAu4iL3oqwElhbSd2A,0.522628383,3.34,14.02,3.48,48.4,0,4.79,20.27,0.04,2.22,0.18,0.18,0
917,2022-06,44.47754214636927,11.35398918123297,0wCpNv9uTUl0r0Kj6apkZA,0.538379692,5.62,2.22,2.84,58.56,0,0.81,26.32,0,1.05,0.7,0.23,0
918,2022-04,44.47822820438198,11.3566389,zJekX5skrIVt46jnu40f-Q,0.522965524,4.15,12.78,11.9,32.53,0,9.21,20.47,0.44,2.95,0.05,1.05,0
919,2014-05,44.47975293704784,11.35968955993955,mPNpxREdUeTuGxI9vPgrmA,0.505270151,1.21,29.37,8.42,22.56,0,9.22,26.59,0.02,0.61,0.53,0,0
920,2022-04,44.47850109636323,11.35999528974739,PB_yCr5SwGU1RJMjud6eeg,0.503264227,0,0,0,0,0,0,0,0,0,0,0,0
921,2022-04,44.47841652410008,11.36147954435956,o8WgA1jkosW_n_nZwQe2wQ,0.494506924,0,0,0,0,0,0,0,0,0,0,0,0
922,2022-07,44.53129670805577,11.35722942829257,_pgbyVUAftpiVNNcF1Nu0Q,0.437224137,0,0,0,0,0,0,0,0,0,0,0,0
923,2022-03,44.53296866432235,11.35943698847649,gqKtgILMlhX-dGlvRMElJw,0.420986104,3.64,38.67,12.63,1.63,0,8.02,34.57,0,0.37,0,0,0
924,2023-08,44.51413252910932,11.36841275,kFsVjQeI4ECXAcW8NG-Enw,0.421053669,0.32,13.17,30.3,17.19,0,0.3,30.9,0,6.89,0.59,0.03,0
925,2022-05,44.51947983153969,11.34820549424782,T8nNfM6KUTv3KZL8-sGrjA,0.517865003,3.24,9.77,3.51,40.21,0,4.85,36.92,0,0.16,0.89,0.03,0.01
926,2023-06,44.52754070242738,11.24571871746865,hITpjwgbZgdRbfWSj301-A,0.676002329,0,10.48,34.19,14.55,0.37,1.91,37.69,0,0.04,0.5,0.03,0
927,2023-06,44.5283974,11.25389637328882,5wN4r573I54ChWhm3nd5-A,0.695014142,0.56,1.06,44.69,17.97,3.73,3.29,22.17,0,5.05,0.03,0.25,0
928,2023-07,44.52717455203253,11.26163117,nIP4RSTsvUUzkdZOpo-Kzg,0.718166626,0.06,0.53,43.23,8.21,0.26,3.52,26.75,0,4.96,0.06,0.03,0
929,2022-03,44.51664026169298,11.28173751445083,tGf_XnfrDvGLBoQDZMeZzA,0.789782085,0,0,0,0,0,0,0,0,0,0,0,0
930,2022-04,44.47384754417143,11.35208593641214,mboDNRq5t6DfXGOktJ__Aw,0.547937794,0,0,0,0,0,0,0,0,0,0,0,0
931,2022-04,44.47033919885477,11.35596747609032,0C-heIXSGS87kxqHgbn0_A,0.522776753,0,0,0,0,0,0,0,0,0,0,0,0
932,2022-01,44.46761013368039,11.35255270472071,qSBPUhehx0GFK0yot3dOUA,0.540116064,1.63,1.91,20.95,42.89,0.07,0,6.88,0.05,9.51,0,0,0
933,2022-03,44.56232643601449,11.41045031045511,-n1nH8QF0BGVc-7r5EPmBw,0.074292022,0,0.32,47.63,13.45,22.3,0,13.64,0,0.98,0.48,0,0
934,2022-03,44.56020463618574,11.41711426451832,0OCKOj2X4tcG7v1Otg3Mgw,0.04655923,0.56,1.01,39.22,38.64,1.7,0,15.87,0,2.05,0,0.06,0
935,2022-03,44.55800295817262,11.42383800194269,ag-n7q4aAsuyk9V2MKGicg,0.017783534,0.13,1.31,45.64,19.13,19.05,0.08,12.44,0,1.13,0,0.1,0
936,2020-11,44.54661806965842,11.39754875929902,aEX640TUk8qJisY4GO981g,0.186104658,0.38,4.58,17.75,40.24,0.96,0.13,29.02,0,5.17,0.27,0.59,0
